"Player","School","Class","Birthdate","Years","Final Age","Position","Combine","Height","Weight","Hand","Arm","Forty","Bench","Vert","Broad","Cone","Shuttle"
"Braelon Allen","Wisconsin","2021","1/20/2004","3","20.0","RB","1","73.3","235","9.3","31.3",,"26","32.0","117",,
"Audric Estime","Notre Dame","2021","9/6/2003","3","20.3","RB","1","71.4","221","10.3","32.4","4.71","23","38.0","125",,
"Malik Nabers","Louisiana State","2021","7/28/2003","3","20.4","WR","1",,,,,,,,,,
"Jonathon Brooks","Texas","2021","7/21/2003","3","20.5","RB","1","72.4","216","9.3","31.5",,,,,,
"Keon Coleman","Florida State","2021","5/17/2003","3","20.6","WR","1","75.3","213","9.4","32.1","4.61",,"38.0","127",,
"Xavier Worthy","Texas","2021","4/27/2003","3","20.7","WR","1","71.3","165","8.8","31.1","4.21",,"41.0","131",,
"Jaylen Wright","Tennessee","2021","4/1/2003","3","20.8","RB","1","70.5","210","9.4","31.5","4.38",,"38.0","134",,
"Ja'Tavion Sanders","Texas","2021","3/27/2003","3","20.8","TE","1","75.9","245","10.1","32.9","4.69",,,,,"4.32"
"Troy Franklin","Oregon","2021","2/6/2003","3","20.9","WR","1","73.9","183","8.6","31.9","4.41",,"39.0","124","6.90","4.31"
"J.J. McCarthy","Michigan","2021","1/20/2003","3","21.0","QB","1","74.5","219","9.0","31.6",,,,,"6.82","4.23"
"Brock Bowers","Georgia","2021","12/13/2002","3","21.1","TE","1","75.1","243","9.8","32.8",,,,,,
"Caleb Williams","Southern California","2021","11/18/2002","3","21.1","QB","1","73.1","214","9.8","32.0",,,,,,
"Carson Steele","UCLA","2021","10/21/2002","3","21.2","RB","0",,,,,,,,,,
"Adonai Mitchell","Texas","2021","10/8/2002","3","21.2","WR","1","74.3","205","9.0","32.4","4.34",,"39.5","136",,
"Brian Thomas Jr.","Louisiana State","2021","10/8/2002","3","21.2","WR","1","74.9","209","9.8","32.8","4.33",,"38.5","126",,
"Arland Bruce IV","Oklahoma State","2021","9/26/2002","3","21.3","WR","0",,,,,,,,,,
"Drake Maye","North Carolina","2021","8/30/2002","3","21.4","QB","1","76.4","223","9.1","32.2",,,,,,
"Will Shipley","Clemson","2021","8/29/2002","3","21.4","RB","1","71.0","206","9.6","30.3",,,,,,
"Bucky Irving","Oregon","2021","8/19/2002","3","21.4","RB","1","69.0","192","9.5","29.5","4.55",,"29.5","115",,
"Marvin Harrison Jr.","Ohio State","2021","8/11/2002","3","21.4","WR","1","75.3","209","9.5","31.9",,,,,,
"Trey Benson","Florida State","2020","7/23/2002","4","21.5","RB","1","72.3","216","9.3","31.5","4.39",,"33.5","122",,
"Jase McClellan","Alabama","2020","6/25/2002","4","21.5","RB","1","70.4","221","10.3","31.1",,"20",,,,
"Ben Sinnott","Kansas State","2020","6/14/2002","4","21.6","TE","1","75.9","250","9.5","32.4","4.68",,"40.0","126","6.82","4.23"
"Rome Odunze","Washington","2020","6/3/2002","4","21.6","WR","1","74.9","212","9.3","32.3","4.45",,"39.0","124","6.88","4.03"
"AJ Barner","Michigan","2020","5/3/2002","4","21.7","TE","1","78.0","251","9.0","33.4",,,,,,
"Jaden Shirden","Monmouth","2020","5/2/2002","4","21.7","RB","1","68.0","187","9.3","28.8","4.45",,"34.5","117",,
"Ja'Lynn Polk","Washington","2020","4/11/2002","4","21.7","WR","1","73.4","203","9.8","31.8","4.52",,,"129",,
"Malachi Corley","Western Kentucky","2020","3/21/2002","4","21.8","WR","1",,,,,,,,,,
"Brenden Rice","Southern California","2020","3/18/2002","4","21.8","WR","1","74.4","208","9.6","33.0","4.50",,"36.5","119",,
"Frank Gore Jr.","Southern Mississippi","2020","3/13/2002","4","21.8","RB","1","67.6","201","8.3","29.6",,"12",,,,
"Isaiah Davis","South Dakota State","2020","2/21/2002","4","21.9","RB","1","72.3","218","10.3","31.1","4.57","23","34.5","119",,
"Javon Baker","Central Florida","2020","2/18/2002","4","21.9","WR","1","73.3","202","9.6","32.3","4.54",,"37.0","121",,
"Kendall Milton","Georgia","2020","2/10/2002","4","21.9","RB","1","73.5","225","9.6","31.8","4.62","18","35.5","124",,"4.38"
"Jabari Small","Tennessee","2020","1/31/2002","4","21.9","RB","0",,,,,,,,,,
"Ajou Ajou","Garden City CC","2020","1/10/2002","4","22.0","WR","0",,,,,,,,,,
"Marcus Rosemy-Jacksaint","Georgia","2020","1/8/2002","4","22.0","WR","1","74.0","195","10.0","33.0",,,"35.0","119",,
"Jalen McMillan","Washington","2020","12/7/2001","4","22.1","WR","1","73.0","197","10.0","32.1","4.47",,"37.0","127","6.94","4.18"
"Emani Bailey","Texas Christian","2020","11/28/2001","4","22.1","RB","1","67.4","202","9.8","29.9","4.61",,"33.5","116",,
"Ladd McConkey","Georgia","2020","11/11/2001","4","22.2","WR","1","71.6","186","8.6","30.3","4.39",,"36.0","124",,
"Jalen Coker","Holy Cross","2020","10/30/2001","4","22.2","WR","1","73.4","208","9.9","32.9","4.57",,"42.5","128",,
"Miyan Williams","Ohio State","2020","10/29/2001","4","22.2","RB","1","68.5","229","9.0","28.6",,,,,,
"Michael Pratt","Tulane","2020","9/30/2001","4","22.3","QB","1","74.5","217","9.3","30.8",,,"36.0","114","7.20","4.23"
"Tip Reiman","Illinois","2020","9/17/2001","4","22.3","TE","1","76.9","271","10.5","32.9","4.64","28","33.5","121","7.02","4.26"
"Kimani Vidal","Troy","2020","8/28/2001","4","22.4","RB","1","67.9","213","9.4","30.4","4.46","18","37.5","120","7.01","4.15"
"Trey Knox","South Carolina","2019","8/14/2001","5","22.4","TE","1","75.0","240","9.4","34.3",,,"32.5","121","7.09","4.54"
"Dillon Johnson","Washington","2020","7/15/2001","4","22.5","RB","1","71.6","217","9.4","30.0","4.68",,"31.5","117",,
"Jermaine Burton","Alabama","2020","6/28/2001","4","22.5","WR","1","72.3","196","9.9","31.0","4.45",,"38.5","133",,
"Devontez Walker","North Carolina","2020","6/19/2001","4","22.5","WR","1","73.5","193","9.1","33.3","4.36",,"40.5","134",,
"Roman Wilson","Michigan","2020","6/19/2001","4","22.5","WR","1","70.8","185","9.4","30.4","4.39",,,,,
"Jaheim Bell","Florida State","2020","6/14/2001","4","22.6","TE","1","74.0","241","10.0","33.0","4.61",,"35.0","124",,
"Ainias Smith","Texas A&amp;M","2019","5/31/2001","5","22.6","WR","1","69.4","190","8.5","29.0",,,,,,
"Tahj Washington","Southern California","2019","5/16/2001","5","22.6","WR","1","69.8","174","8.4","29.1",,,"35.0","122",,
"DeQuece Carter","Indiana","2019","4/25/2001","5","22.7","WR","0",,,,,,,,,,
"Peter LeBlanc","Louisiana","2019","4/12/2001","5","22.7","WR","0",,,,,,,,,,
"Kedon Slovis","Brigham Young","2019","4/11/2001","5","22.7","QB","1","74.5","223","9.9","31.1","4.55",,"30.0",,,
"Ty James","Mercer","2019","4/6/2001","5","22.8","WR","0",,,,,,,,,,
"Joshua Cephus","Texas-San Antonio","2019","4/5/2001","5","22.8","WR","0",,,,,,,,,,
"Johnny Wilson","Florida State","2020","4/3/2001","4","22.8","WR","1","78.4","231","10.0","35.4","4.52",,"37.0","128",,"4.11"
"Luke McCaffrey","Rice","2019","4/2/2001","5","22.8","WR","1","73.6","198","9.6","30.1","4.46",,"36.0","121","6.70","4.02"
"Casey Washington","Illinois","2019","3/6/2001","5","22.8","WR","0",,,,,,,,,,
"Ayir Asante","Wyoming","2019","2/27/2001","5","22.9","WR","0",,,,,,,,,,
"Theo Johnson","Penn State","2020","2/26/2001","4","22.9","TE","1","78.1","259","10.3","33.0","4.57",,"39.5","125","7.15","4.19"
"Rasheen Ali","Marshall","2019","2/16/2001","5","22.9","RB","1","71.4","206","8.6","31.3",,,,,,
"Austin Jones","Southern California","2019","2/7/2001","5","22.9","RB","0",,,,,,,,,,
"Jacob Cowing","Arizona","2019","2/4/2001","5","22.9","WR","1","68.4","168","9.0","29.3","4.38",,"36.0","119","7.02","4.32"
"Isaiah Williams","Illinois","2019","1/29/2001","5","22.9","WR","1","69.3","182","9.1","30.1","4.63",,"38.0","123","6.75",
"Xavier Legette","South Carolina","2019","1/29/2001","5","22.9","WR","1","73.0","221","9.0","31.9","4.39",,"40.0","126",,
"Lideatrick Griffin","Mississippi State","2020","1/23/2001","4","23.0","WR","1","70.0","181","9.1","30.6","4.43",,"35.5","124","7.00","4.35"
"Bub Means","Pittsburgh","2019","1/10/2001","5","23.0","WR","1","73.0","212","10.1","33.3","4.43",,"39.5","122",,
"MarShawn Lloyd","Southern California","2020","1/5/2001","4","23.0","RB","1","68.8","220","8.8","30.4","4.46","25","36.0","118",,
"John Rhys Plumlee","Central Florida","2019","1/2/2001","5","23.0","QB","0",,,,,,,,,,
"Kay'Ron Adams","Massachusetts","2019","12/30/2000","5","23.0","RB","0",,,,,,,,,,
"Jamari Thrash","Louisville","2019","12/19/2000","5","23.0","WR","1","71.8","188","8.6","31.0","4.46",,"34.0","120","7.16",
"Ahmarean Brown","South Carolina","2019","12/19/2000","5","23.0","WR","0",,,,,,,,,,
"Jayden Daniels","Louisiana State","2019","12/18/2000","5","23.0","QB","1",,,,,,,,,,
"Jalon Calhoun","Duke","2019","12/16/2000","5","23.1","WR","0",,,,,,,,,,
"Cornelius Johnson","Michigan","2019","11/29/2000","5","23.1","WR","1","74.8","212","8.6","31.9","4.44",,"37.5","127",,
"Blake Corum","Michigan","2020","11/25/2000","4","23.1","RB","1","67.8","205","9.0","28.9","4.53","27","35.5",,"6.82","4.12"
"Cam Grandy","Illinois State","2018","11/19/2000","6","23.1","TE","0",,,,,,,,,,
"Jelani Baker","Limestone","2018","11/13/2000","6","23.1","WR","0",,,,,,,,,,
"Jared Wiley","Texas Christian","2019","11/2/2000","5","23.2","TE","1","78.1","249","9.5","33.3","4.62",,"37.0","118","7.19",
"Xavier Weaver","Colorado","2019","10/12/2000","5","23.2","WR","1","72.3","169","8.9","31.1",,,,,,
"Jordan Whittington","Texas","2019","10/1/2000","5","23.3","WR","1","72.6","205","10.0","30.4",,,,,,
"Spencer Rattler","South Carolina","2019","9/28/2000","5","23.3","QB","1","72.3","211","9.9","31.0","4.95",,"32.0","108","7.21","4.37"
"Erick All","Iowa","2019","9/13/2000","5","23.3","TE","1","76.4","252","10.1","33.0",,,,,,
"Ricky Pearsall","Florida","2019","9/9/2000","5","23.3","WR","1","73.0","189","9.3","30.9","4.41",,"42.0","129","6.64","4.05"
"Dayton Wade","Mississippi","2019","9/8/2000","5","23.3","WR","0",,,,,,,,,,
"Elijah Collins","Oklahoma State","2018","8/1/2000","6","23.4","RB","0",,,,,,,,,,
"Roderic Burns","North Texas","2018","7/7/2000","6","23.5","WR","0",,,,,,,,,,
"Isaac Guerendo","Louisville","2018","6/28/2000","6","23.5","RB","1","72.0","221","9.3","30.8","4.33","24","41.5","129","6.94","4.15"
"C'Bo Flemister","Pittsburgh","2018","6/20/2000","6","23.5","RB","0",,,,,,,,,,
"Cade Stover","Ohio State","2019","6/12/2000","5","23.6","TE","1","75.9","247","9.8","32.8","4.65",,"34.5","116",,"4.45"
"Tejhaun Palmer","Alabama-Birmingham","2018","5/19/2000","6","23.6","WR","0",,,,,,,,,,
"Jha'Quan Jackson","Tulane","2019","5/15/2000","5","23.6","WR","1","69.1","188","8.9","30.9","4.42",,"32.0","118",,
"Gavin Hardison","Texas-El Paso","2018","5/15/2000","6","23.6","QB","0",,,,,,,,,,
"Michael Penix Jr.","Washington","2018","5/8/2000","6","23.7","QB","1","74.3","216","10.5","33.6",,,,,,
"Jordan Travis","Florida State","2018","5/2/2000","6","23.7","QB","1","73.1","200","9.0","31.4",,,,,,
"Zach Heins","South Dakota State","2018","4/21/2000","6","23.7","TE","0",,,,,,,,,,
"Joey Gatewood","Louisville","2018","4/17/2000","6","23.7","TE","0",,,,,,,,,,
"Jacob Warren","Tennessee","2018","4/13/2000","6","23.7","TE","0",,,,,,,,,,
"Devin Carter","West Virginia","2018","4/10/2000","6","23.7","WR","0",,,,,,,,,,
"Dallin Holker","Colorado State","2018","4/7/2000","6","23.7","TE","1","75.4","241","10.3","33.6","4.78",,"32.5","122","6.83","4.21"
"Koby Duru","Louisiana Tech","2018","3/14/2000","6","23.8","WR","0",,,,,,,,,,
"Carter Bradley","South Alabama","2018","3/9/2000","6","23.8","QB","0",,,,,,,,,,
"Joe Milton","Tennessee","2018","3/6/2000","6","23.8","QB","1","77.1","235","10.3","33.4",,,"35.0","121",,
"Amad Anderson Jr.","Temple","2018","2/25/2000","6","23.9","WR","0",,,,,,,,,,
"Bo Nix","Oregon","2019","2/25/2000","5","23.9","QB","1","74.1","214","10.1","30.9",,,,,,
"Austin Reed","Western Kentucky","2018","2/22/2000","6","23.9","QB","1","73.5","220","9.9","30.1","4.82",,,,,
"Dylan McDuffie","Kansas","2018","2/19/2000","6","23.9","RB","0",,,,,,,,,,
"Taulia Tagovailoa","Maryland","2019","2/15/2000","5","23.9","QB","0",,,,,,,,,,
"Devin Culp","Washington","2018","2/2/2000","6","23.9","TE","1","75.1","231","9.3","32.9","4.47",,,,,
"Thurlow Wilkins","Concord","2018","1/29/2000","6","23.9","RB","0",,,,,,,,,,
"Austin Stogner","Oklahoma","2019","1/12/2000","5","24.0","TE","0",,,,,,,,,,
"Deshaun Fenwick","Oregon State","2018","12/31/1999","6","24.0","RB","0",,,,,,,,,,
"Brevyn Spann-Ford","Minnesota","2018","12/27/1999","6","24.0","TE","1","78.5","260","10.3","32.4","4.77",,"31.5","116","7.38",
"David Martin-Robinson","Temple","2018","12/26/1999","6","24.0","TE","0",,,,,,,,,,
"Jeshaun Jones","Maryland","2018","12/22/1999","6","24.0","WR","0",,,,,,,,,,
"George Holani","Boise State","2019","12/16/1999","5","24.1","RB","1","70.4","208","9.8","29.8","4.52",,"39.0","127","7.32","4.33"
"Spencer Sanders","Mississippi","2018","12/15/1999","6","24.1","QB","0",,,,,,,,,,
"McCallan Castles","Tennessee","2018","12/3/1999","6","24.1","TE","0",,,,,,,,,,
"Tyrone Tracy Jr.","Purdue","2018","11/23/1999","6","24.1","RB","1","71.1","209","9.1","31.8","4.48",,"40.0","124","6.81","4.06"
"Re'Mahn Davis","Kentucky","2019","11/11/1999","5","24.2","RB","1","68.4","211","8.9","30.3","4.52",,"35.0","119",,"4.51"
"Jadon Janke","South Dakota State","2018","11/10/1999","6","24.2","WR","0",,,,,,,,,,
"Jaxon Janke","South Dakota State","2018","11/10/1999","6","24.2","WR","0",,,,,,,,,,
"Ryan Flournoy","Southeast MIssouri State","2018","10/27/1999","6","24.2","WR","1","72.8","202","10.1","31.6","4.44",,"39.5","132",,
"Jack Plummer","Louisville","2018","10/21/1999","6","24.2","QB","0",,,,,,,,,,
"Brenden Bates","Kentucky","2018","10/17/1999","6","24.2","TE","0",,,,,,,,,,
"Blake Watson","Memphis","2018","10/14/1999","6","24.2","RB","0",,,,,,,,,,
"Kyren Petteway","Long Island University","2019","9/29/1999","5","24.3","WR","0",,,,,,,,,,
"Ben Bryant","Northwestern","2018","9/17/1999","6","24.3","QB","0",,,,,,,,,,
"DJ Powell","Duquesne","2018","9/16/1999","6","24.3","WR","0",,,,,,,,,,
"Devin Leary","Kentucky","2018","9/10/1999","6","24.3","QB","1","73.3","215","9.5","30.9",,,,,,
"Perry Carter","Jacksonville State","2017","8/31/1999","7","24.4","WR","0",,,,,,,,,,
"Jawhar Jordan","Louisville","2018","8/18/1999","6","24.4","RB","1","69.5","193","8.5","30.1","4.56",,,,,
"Sam Hartman","Notre Dame","2018","7/29/1999","6","24.4","QB","1","73.1","211","9.8","31.4","4.80",,"28.5","106","7.19","4.34"
"Shane Hooks","Auburn","2018","7/15/1999","6","24.5","WR","0",,,,,,,,,,
"Jack Westover","Washington","2018","6/9/1999","6","24.6","TE","1","74.6","243","9.1","32.1",,,,,,
"Jason Bean","Kansas","2018","6/9/1999","6","24.6","QB","0",,,,,,,,,,
"Xavier Johnson","Ohio State","2018","5/11/1999","6","24.7","WR","0",,,,,,,,,,
"Cole Harrity","Buffalo","2018","5/8/1999","6","24.7","WR","0",,,,,,,,,,
"Chris Autman-Bell","Minnesota","2017","3/31/1999","7","24.8","WR","0",,,,,,,,,,
"Cole Beck","Virginia Tech","2018","3/15/1999","6","24.8","RB","0",,,,,,,,,,
"Maleak Bryant","Long Island University","2018","11/16/1998","6","25.1","TE","0",,,,,,,,,,
"Devaughn Vele","Utah","2016","12/15/1997","8","26.1","WR","1","76.0","203","9.8","33.5","4.47",,"36.0","126",,
"Steele Roring","Pittsburgh State","2018","11/26/1997","6","26.1","TE","0",,,,,,,,,,
"Anthony Gould","Oregon State","2019",,"5",,"WR","1","68.4","174","8.9","29.6","4.39",,"39.5","129",,"4.16"
"Malik Washington","Virginia","2019",,"5",,"WR","1","68.5","191","9.3","30.4","4.47",,"42.5","126",,
"Tayvion Robinson","Kentucky","2019",,"5",,"WR","1","70.5","191","9.3","31.0",,,,,,
"Assanti Kearney","Monmouth","2018",,"6",,"WR","0",,,,,,,,,,
"Bryce Oliver","Younstown State","2018",,"6",,"WR","0",,,,,,,,,,
"David White Jr.","Western Carolina","2018",,"6",,"WR","0",,,,,,,,,,
"Hayden Hatten","Idaho","2019",,"5",,"WR","0",,,,,,,,,,
"Cody Schrader","Missouri","2018",,"6",,"RB","1","68.5","202","9.1","28.1","4.61",,"33.0",,,
"Daijun Edwards","Georgia","2020",,"4",,"RB","1","69.6","207","9.5","29.8",,,,"114",,
"Dylan Laube","New Hampshire","2018",,"6",,"RB","1","69.9","206","9.3","29.4","4.54","23","37.0","118","6.84","4.02"
"Keilan Robinson","Texas","2019",,"5",,"RB","1","68.4","191","9.6","30.6","4.42",,"33.0","125",,
"Michael Wiley","Arizona","2019",,"5",,"RB","1","70.5","210","9.3","30.0","4.51",,"33.5","119",,"4.43"
"Austin Bacher","Western Oregon","2017",,"7",,"RB","0",,,,,,,,,,
"Bryce Agnew","Marietta College","2019",,"5",,"RB","0",,,,,,,,,,
"Nakia Watson","Washington State","2018",,"6",,"RB","0",,,,,,,,,,
"Tanner McLachlan","Arizona","2018",,"6",,"TE","1","77.1","244","9.4","31.6","4.61",,"35.0","117",,
"Alec Holler","Central Florida","2018",,"6",,"TE","0",,,,,,,,,,
"Isaac Rex","Brigham Young","2017",,"7",,"TE","0",,,,,,,,,,
"Josiah Johnson","Oklahoma State","2018",,"6",,"TE","0",,,,,,,,,,
"Keon Zipperer","Florida","2019",,"5",,"TE","0",,,,,,,,,,
"Messiah Swinson","Arizona State","2018",,"6",,"TE","0",,,,,,,,,,
"Neal Johnson","Louisiana","2019",,"5",,"TE","0",,,,,,,,,,
"Trent Pennix","North Carolina State","2018",,"6",,"TE","0",,,,,,,,,,
"Davius Richard","North Carolina Central","2019",,"5",,"QB","0",,,,,,,,,,
